content,score,app_id,label
"ekspedisi spx buruk. selalu sering ""pesanan sedang menuju alamat kamu"" keterangan dari pagi padahal kurir nya berangkat sore. apa memang kurir berangkat nya sore?? sudah sering juga barang stuck di DC. kalo memang belum mampu punya ekspedisi sendiri, mending kerja sama dengan yang lain seperti dulu bisa pilih ekspedisi",1,com.shopee.id,Negative
aplikasi dan isinya mantap.harga terjangkau dan amanah.,5,com.shopee.id,Positive
"hati hati berjualan di shopee untuk barang murah/mahal, sangat berbahaya. di tambah lagi pengiriman barang tidak akurat, akan selalu berubah dan update tanggal serta pengiriman lama",1,com.shopee.id,Negative
"sekarang males bgt belanja dishopee, pengiriman nya makin sini makin lambat.",1,com.shopee.id,Negative
sangat muda di gunakan dan pelayanannya bagus,5,com.shopee.id,Positive
sudah tidak nyaman belanja di sini. selalu di batalin katanya melakukan aktifitas tidak wajar,1,com.shopee.id,Negative
jelek banget pelayanan y estimasi tanggal 13 sampai tanggal 17 barang lom sampai2 follow up hanya jawab segera di antar hampir 1 minggu barang lom sampai.pengiriman instan driver slalu tlp minta tambahan uang pengiriman gak di kasih estimasi 2 jam bisa 6 jam lebih baru di kirim. klo beli barang untuk alat pekerjaan jgn di Shopee bikin kecewa.kepercayaan yg ngasih kerjaan jadi hilang.,1,com.shopee.id,Negative
mantap,5,com.shopee.id,Positive
sangat membantu,5,com.shopee.id,Positive
Jokowi balik lagi di tahta mu,5,com.shopee.id,Positive
BISA GAK SIH JANGAN MUNCUL MULU DI GOOGLE CAPEK TAU GAK?!! SETIAP MAU DOWNLOAD GAME BAJAKAN ADA ELU LAGI,5,com.shopee.id,Positive
bagus sih tapi yah adalah pokoknya,4,com.shopee.id,Positive
"bagus banget di shopee bisa mencari cuan berjualan online dll udah gitu memudahkan belanja online ongkir tidak terlalu mahal banyak diskon gede""an setiap tanggal kembar",5,com.shopee.id,Positive
Lelet lemot,5,com.shopee.id,Positive
"shopee top markotop,sejauh ini belum ada yang bisa Ngalahin shopee,mulai dari Harga plus gratis ongkir serta pelayanan cs shopee yang ramah dan siap siaga,semoga shope terus bertahan agar warga +62 gak repot2 lagi keluar2 ngantri belik barang Idaman mereka dan juga para pedagang bisa Lebih Santai dalam berjualan online di Shope ,mantap shopee🔥💯👍",5,com.shopee.id,Positive
terbaik,5,com.shopee.id,Positive
apk nya bagus saya suka dan semoga berjalan lancar dan banyak diskon hehe.,5,com.shopee.id,Positive
verifikasi wajah tidak bisa sistem eror terus tolong bantuannya gimana ini?,1,com.shopee.id,Negative
bagus banget,5,com.shopee.id,Positive
semakin gak jelas,1,com.shopee.id,Negative
SPX pengiriman LAMBAT!!!!,1,com.shopee.id,Negative
saya tidak setuju ketika kita mengirimkan pesan ke toko orang lain tidak bisa masuk karena terindikasi spam padahal pesan yg saya kirimkan nomor telepon,2,com.shopee.id,Negative
pesanan saya 2x di retur kurir tanpa konfirmasi,1,com.shopee.id,Negative
"ok, udah bs narik 5rb koin lg 😉",5,com.shopee.id,Positive
best of the best,5,com.shopee.id,Positive
"apk ini bagus sekali, saking bagusnya pesanan sampai ber minggu2. dan anehnya lagi pesanan saya sdh mncapai 3jt ke atas hanya karna ada beberapa pesanan yg di retur karna tidak sesuai ehh malah fitur codnya di non aktifkan, dasar apk busuk( tak ada kebijaksanaan.)",1,com.shopee.id,Negative
"BUAT LU YANG MESEN MAKANAN DI APK INI, ASLI LU KEJAM SAMA HAL NYA APLIKASI INI. LU BAYAR MAHAL BUAT KE APLIKASI NYA KITA SEBAGAI KURIR NGANTER CUMAN DIKASIH 5000 PER 3KM. SADAR",1,com.shopee.id,Negative
"belain daftar ShopeeVIP biar dapet voucher ongkir reguler dan berharap nyampenya lebih cepet dari cargo, eh nyatanya sama aja dan kadang bahkan lebih lama. kadang 2-3 hari kurir baru jemput paket dari seller, akhirnya tgl estimasi mundur lagi. aplikasi setelah update sering ngelag, sampe refresh layar berkali² dan gagal klaim voucher spesial.",1,com.shopee.id,Negative
pembayaran tagihan murah,5,com.shopee.id,Positive
mantap,5,com.shopee.id,Positive
"Laporannya diterima sih diterima ya, masalahnya yang ngga selesaikan, niatnya buat dapetin nomor yang lama atau bantu hapusin nomor yang lama gitu karena itu nomor sudah hilang, minta rating tinggi tapi kerjaan semau- mau nya ktp mau berapa kali dikirim biar percaya kalau itu orang yang sama aneh",2,com.shopee.id,Negative
fun market place for shop,5,com.shopee.id,Positive
"belanja di shopee sangat menguntungkan, harga murah tapi kwalitasnya muaskan",5,com.shopee.id,Positive
baguss bangett,5,com.shopee.id,Positive
"gatau kenapa padahal internet lancar tapi selalu lag, kecewe sih",3,com.shopee.id,Neutral
sangat buruk pelayanannya..spx.nya juga sangat buruk,1,com.shopee.id,Negative
Bagus banget dari dulu tetap Shopee.👍👍👍⭐⭐⭐⭐⭐,5,com.shopee.id,Positive
Ok & Sip 👍👍👍👍👍,5,com.shopee.id,Positive
shopee emang bagus. tp ada juga jeleknyam emang dia mau confirm untuk keamanan bagus.. tp ga maim blokir aja tanpa pemilik akun paham kesalahan yg dilakukan. masak iya main hajar blokir2.... kecuali saya ada notif peringatan apa yg saya lakukan salah. ini mah ga ada main blokir2... kan bingung ya yg pny akun disini... ngawur polll....,1,com.shopee.id,Negative
bagus,5,com.shopee.id,Positive
"Bug nya banyak,, suka mental"" saat aplikasinya digunakan",2,com.shopee.id,Negative
kenapa payleter saya tidak bisa di gunakan,3,com.shopee.id,Neutral
"terima kasih shopee l, is the best",5,com.shopee.id,Positive
"padahal bulan"" kemaren shopee masih normal,kok sekrang gini? beli barang yang sama namun beda hari,pertama beli 2 hari nyampe,terus kedua kalinya? udah 7 hari ini? seriusan?",3,com.shopee.id,Neutral
semoga di beri splater,5,com.shopee.id,Positive
ok,5,com.shopee.id,Positive
berifikasi wajah gagal terus,1,com.shopee.id,Negative
jozjiz,5,com.shopee.id,Positive
"shopie sdh melakukan kesalahan, melakukan transaksi tampa sepengetahuan saya, sdh di klaim tapi tdk di batalkan, sehingga menambah jumlah tagihan di spy later, bila tdk ada itikad baik, maka saya akan proses hukum. dgn denda 1 miliar.",1,com.shopee.id,Negative
is te best,5,com.shopee.id,Positive
"ceki ceki koclok. kalo koin hadiah game nya sedikit ya level kesulitan nya harusnya turun, bukan nya sama aja kayak dapet hadiah besar!!! gk tau lagi harus bilang pake bahasa apa, CEKI CEKI NYA TOLONG DI KURANGIN LEVEL KESULITAN NYA LOL CEKI CEKI FU*K",1,com.shopee.id,Negative
sangat bermanfaat bagi pedagang online,5,com.shopee.id,Positive
"suka sm shopee nya tapi g suka sm ekspedisi spx nya. kirim brang sll bermasalah. prnh kirim makanan ke customer pas udh sampe kardus udh repackan trs plastik makanannya segelnya kebuka dan isinya berkurang setengah. trs lagi kirim makanan 16 pcs gagal kirin dan diretur ke pengirim. stlh diunboxing trnyta isinya berkurang 6 pcs, after komplen ke cs shopee suruh upload awal proses packing. lah kita g kepikiran bikin video packing lah krn kita pikir bakal aman ternyata g aman. adminnya jutek bgt",1,com.shopee.id,Negative
sangat baik,5,com.shopee.id,Positive
"puas, karena saya setiap hari belanja di shopee",5,com.shopee.id,Positive
tolong kenapa kalau gw mesen paket telat mulu tapi kalau temen gw cepet padahal deket daerah nya tolong ini kenapa,2,com.shopee.id,Negative
"mainan shoope beduk berkah bosokkkk, dipencet orang 3 gabisa sampai terakhir, bosok banget plis, ayamnya lelettt",2,com.shopee.id,Negative
pesan nan di batalin terus Ama sopy gimana si,1,com.shopee.id,Negative
cukup bagus,5,com.shopee.id,Positive
"sangat bagus apk shoppe ini barang nya asli walaupun harganya lumayan tggi tpi asli,,tergantung liat vd pembuktian yg ada.",5,com.shopee.id,Positive
Busuk,1,com.shopee.id,Negative
teruntuk pembeli pahami titik jgn cuma tulis alamat... karena driver dihitung berdasarkan titik bukan alamat,3,com.shopee.id,Neutral
"Shopee aneh, mau belanja aja susah, mau jualan susah, akun di batasi, katanya ada aktifitas mencurigakan,di angap maling aja gua, hutang juga gak punya, akun di hapus gak bisa, KTP udah terdaftar, payah ribet, mending tik tok . jualan belanja gak ribet",1,com.shopee.id,Negative
Mantap bisa pinjam online jg,5,com.shopee.id,Positive
shopee sangat membantu.. tapi yang bikin kesel sering muncul iklan.. tolong di perbaiki jangan keseringan..,5,com.shopee.id,Positive
mantap,5,com.shopee.id,Positive
mohon akun saya di bukak shopeepay saya yg di bekukan padahal saya Uda bayar tagihan saya semua,5,com.shopee.id,Positive
"nambah gak jelas nih shopee, kurir nya pada malas ngantar paket mentang"" cod paketnya di batelin gitu aja, hedeh nyesel dah blanja di shopee",1,com.shopee.id,Negative
puas,5,com.shopee.id,Positive
"dah capek2 ikutin program affiliate tiap hari iklan terus, tau2 affiliatnya di blokir sama pihak shopee",4,com.shopee.id,Positive
bisa ngutang dulu menjelang gajian.tapi jangan sampai lupa bayarnya,5,com.shopee.id,Positive
😡,1,com.shopee.id,Negative
sangat bagus,5,com.shopee.id,Positive
iklan jembot tempek,1,com.shopee.id,Negative
pengiriman jasa kirim spx terlalu lama,1,com.shopee.id,Negative
barang yg di jual sesuai dgn gambar,5,com.shopee.id,Positive
"kecewa,main batalin sepihak dari aplikasi shopee langsung",1,com.shopee.id,Negative
mntappp,5,com.shopee.id,Positive
apli kasi bagus,5,com.shopee.id,Positive
very good,5,com.shopee.id,Positive
langsung tanpa basa basi,5,com.shopee.id,Positive
payah,1,com.shopee.id,Negative
"Sangat membantu semua kebutuhan kita, gratis ongkir & pengiriman cepat.",5,com.shopee.id,Positive
Neko Nya Sombong Aku Ngak Suka,1,com.shopee.id,Negative
ni aplikasi ngelagg banget gilakk dah hapus memori masa masih ngelag delay loading lama banget keselll plis update lah lagg banget woiii mau nambah produk lagg bangett gilaaaaa,1,com.shopee.id,Negative
ok ada perhatian utk respon barang salah kirim,5,com.shopee.id,Positive
sdh lama pakai aplikasi Shopee sangat wah bagus tetapi semenjak muncul ekspedisi spx ikut melakukan pengiriman.. membuat kecewa barang yg seharusnya sampai 4 sampai 7 hari ini bisa lebih dari 10 hari,1,com.shopee.id,Negative
sekarang shopee ga ky dl.pengiriman cepat tepat wktu.jarang barang d undur pengiriman ny.tp skarang nmbah ga jelas.kt psen barang nyampe ny seminggu baru nyampe.mngkin kl aplikasi buat penjual ny bagus.tp buruk dlm pengiriman barang ny.selalu ga tepat.kl bs jasa pengiriman ny harus d perbaiki jgn bkin orang kesel.,3,com.shopee.id,Neutral
"pengiriman nya lama bangett, udah hampir seminggu pesanan ga sampe"", mana barang juga udah mau di pake, jujur kecewa sihh sama pengiriman nya yg lelet bangett",1,com.shopee.id,Negative
"Kenapa pengiriman lama sekali? Pesan dari tanggal 11 sampai tgl 16 belum juga datang. Pengiriman dari Surabaya-Kediri biasanya gak selama ini lo. Pikir saya cari yang dekat supaya cepat sampai, ehh ini lamanya minta ampun. Kecewa sih. Estimasi tanggal 14, udah lewat 2 hari belum juga nyampai.",2,com.shopee.id,Negative
"Mantapp, belanja lebih hemat👍👍👍❤❤",5,com.shopee.id,Positive
aplikasi nggak jelas saya dapat diskon murah malah di batalin dengan alasan aktivitas tidak wajar kalo gitu ngapain di kasih vocernya di awal kalo ujungnya di batalin mana pengembalian dana lama,1,com.shopee.id,Negative
"Cara mudah berbelanja online, fiturnya lengkap. tks Shoppe.👍",5,com.shopee.id,Positive
"Mantul pokoke,belanja praktis,banyak promo,",5,com.shopee.id,Positive
sangat bagus,5,com.shopee.id,Positive
puas belanja di shopee,5,com.shopee.id,Positive
"Paket nunggu sampe 3 hari ga gerak"" di Gudang! buset sistem nya sipaling banyak promo, nyata nya barang numpuk ga dikirim kirim! mikir!",1,com.shopee.id,Negative
sangat berguna,4,com.shopee.id,Positive
jos,5,com.shopee.id,Positive
"kenapa ga ada notifikasi pesanan saya padahal sudah saya aktifkan,?",5,com.shopee.id,Positive
buka aplikasi lama banget,1,com.shopee.id,Negative
kemudahan belanja online,5,com.shopee.id,Positive
"dapat fitur voucher pengguna baru, tapi saat dibelanjakan malah dibatalkan sepihak, katanya melanggar, padahal shopee sndri yg kasih voucher.... cs pun gak bisa kasih solusi.",1,com.shopee.id,Negative
bagus murah murah,5,com.shopee.id,Positive
"kk tolonglah diperbaiki alamatnya,.kenapa dia otomatis ngetag alamat random yg Pernah disinggahi tiap pesan shoppefood, padahal alamat rumah udh ada dan tersimpan, kenapa di caplok alamat random yg sama sekali g tersimpan di aplikasi,. menyulitkan syaa dan drivernya",2,com.shopee.id,Negative
terkadang paketan nya lama datang dan berhenti di jasa pengirimannya ini emang kurir nya gak antar atau gimana,3,com.shopee.id,Neutral
bagus,5,com.shopee.id,Positive
saya heran dengan shopee ini saya gunakan paylater malah kurir nya kena ongkir 3rb jadi dobel nominal plus ongkir dari kurir jadi kasian ke kurirnya kalau salah paham,1,com.shopee.id,Negative
Shopee ramadhan,5,com.shopee.id,Positive
baru mau coba,5,com.shopee.id,Positive
sangat membantu,5,com.shopee.id,Positive
mantab...,5,com.shopee.id,Positive
ragu gua belanja di apk ini.belanja di sini susah.toko penipuan di lindungi tidak di tindak.pernah pesan barang.yg di kirim palsu.sudah melapor tidak mengambil tindakan.mengecewakan.beda dengan apk sebelah.,1,com.shopee.id,Negative
"Sering banget belanja di Shopee tapi akhir² ini shopee kok aneh ya?? contohnya mau belanja 1 barang harganya 100 ribuan tapi pas mau di checkout harganya tiba tiba jadi 390 ribuan, subtotal ukuran khusus itu buat apa? kok bisa melonjak seperti itu? tahun kemarin ga gini banget sadis belanja di shopee",1,com.shopee.id,Negative
kebutuhan semua kehidupan ada ditangan tidak diragukan lagi shopee,5,com.shopee.id,Positive
"Belanja di Shopee selalu puas! Pengiriman cepat, barang sesuai deskripsi, dan harganya juga terjangkau. Banyak promo dan gratis ongkirnya sangat membantu. Recommended banget! 👍Sangat puas belanja di Shopee. Proses checkout mudah, pembayaran banyak pilihan, dan pengiriman cepat. Barang yang saya terima sesuai foto dan deskripsi. Seller juga responsif dan ramah. Terima kasih Shopee! 🧡Pelayanan sangat baik, admin fast response, dan pengemasan rapi serta aman. Barang sampai dengan kondisi bagus.",5,com.shopee.id,Positive
"ShopeeFood Deals itu PENIPUAN. Udah klik beli itu nggak ke menu konfirmasi tapi malah langsung beli. Dan ternyata harganya bukan harga asli tapi cuman harga buat voucher doang. Ada tulisan ""100% refund"" sengaja dibikin kecil. Shopee seenaknya dengan S&K. Nggak penting apakah udah ditulis di S&K. Itu penipuan. Kalau pembelian biasanya harus menu konfirmasi pesanan dulu. Itu taktik sengaja membuat custoner mengeluarkan lebih banyak duit. Penipuan.",1,com.shopee.id,Negative
sangat membantu saya,5,com.shopee.id,Positive
mantap,5,com.shopee.id,Positive
"aplikasi shopee keren sih.banyak promo²,harga murah²,dan banyak bonusnya. pengiriman cepat .semoga bisa dipertahankan dan lebih baik lagi",5,com.shopee.id,Positive
puas banget dengan shopee permudah belanja kita,5,com.shopee.id,Positive
good baged,5,com.shopee.id,Positive
kok bisa paket telah di selesaik an tapi barang belum saya terima.. bagaimna ini tanggung jawab dong,1,com.shopee.id,Negative
Shopee udah jadi sahabatku dari 2021 🥰,5,com.shopee.id,Positive
memuaskan dan sangat membantu,5,com.shopee.id,Positive
sangat puas,5,com.shopee.id,Positive
"belanja mudah,cuma apknya agak berat",5,com.shopee.id,Positive
Spx expres maupun standar menghambat pengiriman gk di proses2 terus stuck udah lebih 6 hari,3,com.shopee.id,Neutral
"pliss lah, kasih fitur pembayaran qris, karena klo pake kartu kredit ga semua kartunya bisa di pake, contoh aku pake kartu dari bank nagari ga bisa",4,com.shopee.id,Positive
"dulu awal2 kaga ngerti cuma buat pajangan aja ini aplikasi,,pas udah tau enak juga belanja di sini",5,com.shopee.id,Positive
sangat puas,5,com.shopee.id,Positive
mantap,5,com.shopee.id,Positive
app nya iTu setiap baru download atau login itu dapat diskon nampol bgt,5,com.shopee.id,Positive
pengiriman makin hari makin lama 👎,1,com.shopee.id,Negative
mendapatkan hatga terjangkau dgn kwalitas terbaik,5,com.shopee.id,Positive
"alhamdulilah, semenjak pakai shopee mempermudah , dan sangat bermanfaat bagi saya thanks shopee. 👍",5,com.shopee.id,Positive
Aplikasi shoopee sangat membantu dan tingkatkan terus pelayanan.awas racun shoopee,5,com.shopee.id,Positive
Menurut pengalaman saya diantara semua jasa kirim expedisi ....spx shopelah yg paling lambat ngaret dari estimasi yg mereka buat sendiri...kadang kiriman dari DC Sunter Jakarta ke kab serang banten sudah sampe di alamat saya aja kirain mau dianterin kerumah ..eh info kiriman balik lagi ke DC Sunter Jakarta terus balik lagi ke kab serang banten dan lama lagi disitu gk dianter2 kerumah....eror dan konslet nih kurir sama systemnya !!?,1,com.shopee.id,Negative
mantap,5,com.shopee.id,Positive
apik,5,com.shopee.id,Positive
"saya pengguna lama shopee baru ini saya kecewa dengan jasa kirimnya. pesanan saya dari tanggal 8-14 februari 2026 dengan estimasi waktu sekitar 3 hari pesanan saya belom kunjung sampai. saya cek masih di transit kota jakarta Utara, Cilincing 3 HUB. (TOLONG DI PERBAIKI JASA KIRIMNYA JANGAN SAMAPI MENGECEWAKAN PEMBELI ATAU CUSTOMER DAN BERIKAN PENJELASAN KE PADA CUSTOMER JIKA PESANAN BELOM KUNJUNG SAMAPI)",4,com.shopee.id,Positive
manfaat bgt,5,com.shopee.id,Positive
aplikasi ny bagus,5,com.shopee.id,Positive
aplikasi mantap 👍 buat belanja ok,5,com.shopee.id,Positive
Alhamdulillah kami sangat puas,5,com.shopee.id,Positive
𝚋𝚒𝚜𝚊 𝚖𝚎𝚖𝚋𝚊𝚗𝚝𝚞 𝚔𝚒𝚝𝚊 𝚞𝚗𝚝𝚞𝚔𝚗𝚖𝚊𝚕𝚒𝚑𝚊𝚝 𝚋𝚊𝚛𝚊𝚗𝚐 𝚢𝚐 𝚜𝚊𝚗𝚐𝚊𝚝 𝚍𝚒𝚒𝚗𝚐𝚒𝚗𝚔𝚊𝚗,4,com.shopee.id,Positive
lumayan lah nyari apa² gampang. bisa jg bwt bandingin harga.,5,com.shopee.id,Positive
"awalnya suka banget pakai Shopee krn emangpraktis itu, tapi akhir ""ini jadi kecewa sama Shopee.... pesanan yg sharusnya estimasi 1 hari malah berhari""....",4,com.shopee.id,Positive
saya kasih rating 4 ..kalau kendala saya tidak bisa di proses...barang dari toko kita pecah rusak ..udh bukti poto video ...tp proses pengembalian dana lama..oce 3 hari saya tunggu .kl keluhan konsumen di lalaikan..rating 1.,4,com.shopee.id,Positive
syukaa,5,com.shopee.id,Positive
sangat mudah untuk digunakan,5,com.shopee.id,Positive
pesanan yg dipesan sesuai,5,com.shopee.id,Positive
ini saya mau ajukan kesalahan shopee Indonesia ini saya mau pesan barang tapi GK bisa ini katanya promo ini sudah di gunakan tolong di perbaiki,2,com.shopee.id,Negative
mohon untuk toko toko yg nakal segera di evaluasi lagi banyak barang yg tidak sesuai deskripsi,5,com.shopee.id,Positive
kok cod nya hilang lagi sih,2,com.shopee.id,Negative
This app is very helpful and easy to use. I really enjoy the features and smooth performance.,5,com.shopee.id,Positive
mantap,5,com.shopee.id,Positive
ok,5,com.shopee.id,Positive
"hati hati isi e-toll di shopee, scan kartunya nya tidak akurat. sudah di tap kartu yg mau di isi malah muncul kartu yg isi sebelumnya. terpaksa saya isi lagi di tokped lebih akurat scannya. tolong sistemnya di perbaiki. terima kasih",1,com.shopee.id,Negative
barang selalu terlambat tidak pernah tepat waktu katanya expres taekkk !!!!!,1,com.shopee.id,Negative
bgs banget,5,com.shopee.id,Positive
pulihkan shopee sya,1,com.shopee.id,Negative
Nicee,5,com.shopee.id,Positive
"sistem kurang ketat, perbaiki lagi terutama dibagian pembayaran PlayStore, masa orang lain bisa ganti sandi tanpa sepengetahuan saya",1,com.shopee.id,Negative
mesen di shopee banyak potongan harga nyaaa dan barang nyaa bagus bagusss suka bgett febes banget si shopee aku selalu pesen baju celana kerudung kebutuhan sekolah di shopee,5,com.shopee.id,Positive
"biaya naik, pengantaran spx makin lamban",1,com.shopee.id,Negative
bagus,5,com.shopee.id,Positive
bagus,5,com.shopee.id,Positive
terbaik,5,com.shopee.id,Positive
oke,5,com.shopee.id,Positive
ok bangeeeetttttttttt,5,com.shopee.id,Positive
"setiap buka shopi yang keluar langsung shopi video, mana suaranya kebawa terus gak bisa langsung hilang meski sudah ke branda..",2,com.shopee.id,Negative
"pake verifikasi wajah, saya tidak bisa bayar pakai Shopepay lagi, verifikasi wajah gagal terus, tapi klo bayar nanti verifikasi wajah berhasil",2,com.shopee.id,Negative
"bekerja dari hal"" yang baru!",5,com.shopee.id,Positive
Sangat Bagus untuk belanja,5,com.shopee.id,Positive
bagus apk mantep 😚😚🗿😎,5,com.shopee.id,Positive
"please lah jangan tiba tiba kasih notifikasi ""pesanan anda telah dikirim"" ""pembayaran berhasil"" tanpa alasan yang jelas. Asli ini bikin kita jantungan, kita ga pesen apa"" tiba-tiba dikasih notif kek gitu. ga lucu sumpah, bikin notif tuh yg sewajarnya aja. semoga masalah ini segera di fix 🙏🏻",3,com.shopee.id,Neutral
puas banget,5,com.shopee.id,Positive
saya akan perbaiki rating jika dapat jawaban memuaskan dari shopee yang bertanggung jawab atas kurir nya yang belok ke kalimantan,1,com.shopee.id,Negative
siip,5,com.shopee.id,Positive
oke,5,com.shopee.id,Positive
aplikasi yang sangat membantu,5,com.shopee.id,Positive
bagus untuk belanja online tapi rawan penipuan dan bara g tidak sesuai yang di inginkan,5,com.shopee.id,Positive
"aplikasi yg sangat berguna sekali membantu sekali untuk mempermudah kebutuhan yg kita cari, fitur nya jugaaa sangat membantu bngtt sukses terus pokoknya 👍",5,com.shopee.id,Positive
"aplikasi shopee ini enakk banget biasanya gratis ongkir apa gimanaa, nyaman bangett. tapi sekarang karna ada subtotal ukuran khusus, ongkir nya jadi makin mahal. dulu ga ada itu murah aja trs sekarang karna ada subtotal ukuran khusus jadi mahal mau beli barang yg ukuran nya gede:( katanya bukan aturan baru biar lebih transparan, tapi dulu ga ada tuh dan beli ukuran gede enak enak aja, kenapa sekarang ada subtotal ukuran khusus sih mana 40k🥲",4,com.shopee.id,Positive
shopee saya tidak bisa cod,1,com.shopee.id,Negative
mantap,5,com.shopee.id,Positive
bagus👍🏻,5,com.shopee.id,Positive
sangat mudah,5,com.shopee.id,Positive
Shopee the best.,5,com.shopee.id,Positive
good banget Bintang lima,5,com.shopee.id,Positive
"Tolong di update lagi karena ini shopee ada bug di bagian pengiriman, bug nya itu. barang sudah sampai tapi tidak ada opsi barang selesai, padahal barang nya sudah saya terima 2 hari usai pengiriman segera sampai. mohon pihak shopee perbaiki lagi bug nya agar saya bisa memberi ulasan ketika barang sudah sampai tepat waktu",3,com.shopee.id,Neutral
terimakasi.shopee.atas.layan.nya,5,com.shopee.id,Positive
"sy puas belanja di shopee, pengembalian dana nya jg sangat cepat & ga ribet, beda dgn di toko sebelah. pertahankan terus untuk kepuasan konsumen. trima kasih shopee...",5,com.shopee.id,Positive
shopee mempermudah belanja bagiku yg sdh usia 60an. ga ribet hrs dandan rapi klo mau belanja. ga butuh kendaraan.. ga butuh bensin.. praktis banget. apapun kebutuhanku juga ada. Juga sreg dihati krn bisa yakin barang yg kita beli ori.,5,com.shopee.id,Positive
bagus aplikasi nya lebih bagus dari pada tiktok kalau belanja di tiktok mahal kalau di shoope murah,5,com.shopee.id,Positive
kenapa pengajuan pinjaman saya di tolak,5,com.shopee.id,Positive
aplikasi good.,5,com.shopee.id,Positive
good.. tingkatkan terus apl nya dan mudahkan apl nya,5,com.shopee.id,Positive
"Gimana sih, Customer Service Prioritas balas chatnya full AI. Keluhan yang disampaikan tidak terselesaikan karena CS dipegang langsung AI.",3,com.shopee.id,Neutral
"sumpah pelayanan shoppe sekarang ga banget, cs nya ga banget deh pokonya ya Allah",5,com.shopee.id,Positive
kacau,2,com.shopee.id,Negative
"banja mudah,tinggal pencet,nyampek rumah..",5,com.shopee.id,Positive
